"","WT.RT.1","WT.RT.2","WT.RT.3","KO.RT.1","KO.RT.2","KO.RT.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","KO.COLD.1","KO.COLD.2","KO.COLD.3"
"17412418",4.83100408310804,4.82227593766074,5.07499917612429,4.58708781516992,4.57579305080832,5.03149270436331,6.70514003985513,6.22830367706151,6.23071947443479,6.23181839506199,6.62913412596201,6.26624115220143
"17254289",4.96515512259075,5.66597519513612,5.3653681550551,6.55343931435839,7.17685684913044,6.05955273939828,6.22298087354301,6.56975256253897,6.53381406384689,7.46336574576757,6.891934198654,7.22425137947701
"17390614",4.0167804726595,2.7133702067984,3.90908791363866,3.19269072249747,2.63901891414158,2.85110016220286,3.46393596367703,3.29811035207646,3.01825318578697,3.42589670662529,3.84273686647856,2.835861605103
"17291174",5.32594872055582,5.01281209289547,5.33540655423842,3.93690910040473,4.58214309304433,3.47179385208568,4.85833436050256,4.69779408327017,4.02164520737354,3.82875015791193,4.04752410756473,4.2574346500273
"17342538",2.64898071115509,2.41104823801395,2.65406900100614,2.41104823801395,2.86981348051607,2.57779925667833,3.81848139020622,3.60867829918484,3.05776206192346,4.60564815208645,4.17097747663312,2.93538022720461
"17271237",4.92640430913167,5.09786955483169,4.84701782352445,3.94319074574697,4.41379907924824,4.5416753675201,6.52878123376258,6.243202839413,6.43929835416639,5.31859359468688,5.3230263449287,5.37198895401947
"17268898",3.91093604318867,4.51604671668611,3.83599259991235,4.40878263963945,4.55304965337509,4.11619127763545,4.7069848865129,4.90541384028399,4.7069848865129,5.54631629385999,5.50729491199756,4.8779185521329
"17502260",3.64132463705946,3.41174231281546,2.77313111655015,3.95267692547424,3.13785942067642,3.02094981965929,3.53861092181833,3.63573564445233,3.36574483862405,2.97434635987817,3.97504964044627,2.57118422688947
"17460681",4.14495409042714,3.73280971727754,4.12351681514776,3.42574334047877,4.18603605865626,3.97247716382177,3.24701256066367,3.08034970490638,3.24657994119248,2.98212683915022,3.14709563920282,3.01282886240491
"17506270",2.93004161088391,3.24383855783176,2.29530487122796,3.60820080954219,3.27237191658465,2.80695325358903,1.74954489053137,2.14907601511562,1.77083126438101,2.41777446894807,1.86319978374248,2.22279426898049
"17327130",4.01759997173024,3.89476625723992,3.57520935228801,4.53239037618468,4.2101275376695,3.33123727650341,3.44999605862241,3.4259992953701,2.9264141377781,3.13697096683585,3.7222214179889,3.63654698382127
"17333373",2.45077160085092,1.46187541864677,1.4607705608867,1.5854093345871,1.38050681727695,1.65537571579889,1.87909919416025,1.39891309716844,2.04392837558977,2.17822573807321,2.0994313297612,1.71487480645585
"17509676",3.47949383222254,3.18059677993816,3.41398694779155,3.68585110354391,3.56323872107079,3.71502220223569,2.71619891577821,2.81579143545105,4.15198048323433,3.76799069634657,2.5632181672491,2.61910636347817
"17433934",4.43309668677782,4.05777127928339,3.6933342199483,3.85362017938898,4.40155979857658,4.4816294279131,3.45500256319124,3.45748777310673,3.69494503574113,3.50576228954596,3.72517621865881,3.55942493757958
"17366988",4.88468375485639,4.75987984836933,4.57338340111641,4.91087006157524,4.94891869962207,4.66225987243884,5.06359659135359,5.51156027100243,5.3746053732297,5.91612604106053,5.78138654757696,5.87853540605498
"17288269",4.92708569545874,5.1042556230751,5.38614711996708,5.17684200625735,5.59656164030794,4.98944274790282,4.38868056531851,4.79599866360812,4.12308034291122,4.45035717946869,4.35141625665274,3.4311913259397
"17526127",6.83588841156763,6.70944587343204,6.47389081015067,6.43301419443783,7.0386794141138,6.52931854417165,6.28187639908731,6.05808918504534,5.76806039680695,5.73843593938966,5.85849021878127,6.11718863760894
"17286808",2.89424458150793,1.86690230939839,2.53515782932089,2.29153337619309,1.78596687890326,2.38325778305845,1.69584124475099,1.71407270210565,1.51297400684271,1.3652337610318,1.66798098510594,1.77650164110546
